iter	Passed	Remaining
0	150	150676
1	152	76016
2	155	51776
3	158	39513
4	160	31874
5	161	26718
6	162	23018
7	163	20242
8	164	18074
9	165	16354
10	166	14946
11	169	13944
12	171	13038
13	172	12174
14	173	11412
15	174	10753
16	176	10187
17	177	9660
18	178	9208
19	179	8784
20	180	8400
21	183	8152
22	186	7912
23	187	7629
24	188	7350
25	189	7092
26	190	6851
27	191	6635
28	191	6428
29	193	6243
30	194	6069
31	197	5966
32	198	5811
33	199	5659
34	199	5513
35	200	5375
36	201	5243
37	202	5121
38	204	5027
39	205	4922
40	206	4828
41	211	4827
42	212	4736
43	213	4645
44	214	4556
45	215	4472
46	216	4395
47	218	4324
48	218	4248
49	219	4174
50	220	4102
51	222	4051
52	223	3998
53	224	3937
54	225	3876
55	226	3817
56	227	3760
57	228	3706
58	229	3656
59	230	3607
60	231	3557
61	232	3511
62	233	3475
63	234	3427
64	236	3405
65	238	3374
66	239	3331
67	240	3292
68	241	3252
69	242	3218
70	243	3187
71	244	3154
72	245	3117
73	246	3081
74	247	3056
75	249	3037
76	250	3006
77	251	2974
78	252	2944
79	253	2912
80	254	2881
81	254	2852
82	255	2819
83	256	2791
84	256	2764
85	257	2737
86	258	2711
87	259	2685
88	259	2659
89	260	2636
90	262	2625
91	264	2607
92	265	2584
93	265	2563
94	266	2542
95	267	2521
96	269	2508
97	270	2487
98	271	2466
99	271	2446
100	272	2426
101	273	2406
102	275	2397
103	277	2387
104	277	2369
105	278	2351
106	279	2333
107	280	2315
108	281	2299
109	282	2286
110	283	2270
111	284	2257
112	285	2244
113	287	2231
114	289	2227
115	292	2229
116	293	2215
117	294	2200
118	295	2187
119	296	2172
120	297	2158
121	297	2143
122	298	2130
123	300	2119
124	300	2106
125	301	2093
126	303	2088
127	305	2079
128	306	2067
129	306	2054
130	307	2041
131	308	2028
132	309	2016
133	310	2004
134	310	1992
135	311	1980
136	312	1968
137	313	1956
138	314	1945
139	314	1934
140	315	1923
141	317	1917
142	319	1913
143	320	1905
144	321	1895
145	322	1887
146	323	1878
147	324	1867
148	325	1857
149	325	1847
150	326	1837
151	327	1827
152	328	1818
153	329	1809
154	331	1805
155	333	1802
156	333	1793
157	335	1786
158	336	1779
159	337	1771
160	337	1760
161	338	1752
162	339	1744
163	340	1735
164	341	1727
165	342	1718
166	342	1710
167	343	1702
168	345	1698
169	347	1698
170	349	1692
171	350	1685
172	350	1677
173	351	1669
174	352	1662
175	353	1655
176	354	1649
177	355	1642
178	356	1635
179	359	1637
180	361	1633
181	362	1629
182	363	1622
183	364	1615
184	365	1608
185	365	1601
186	366	1594
187	367	1588
188	369	1584
189	371	1583
190	375	1590
191	376	1586
192	377	1580
193	379	1574
194	380	1569
195	381	1562
196	383	1561
197	387	1570
198	389	1567
199	390	1562
200	391	1557
201	392	1551
202	393	1545
203	401	1566
204	403	1562
205	404	1560
206	405	1554
207	406	1548
208	407	1542
209	408	1536
